prob_muerte_cronica_total,prob_muerte_cronica_hombres,prob_muerte_cronica_mujeres,tasa_suicidios_total,tasa_suicidios_hombres,tasa_suicidios_mujeres,nivel_tasa_suicidio
29.8,31.8,27.7,4.7,7.6,1.5,baja
29.8,31.9,27.8,4.8,7.8,1.5,baja
31.7,34.1,29.4,5.1,8.6,1.4,baja
34.1,36.5,31.6,6.3,10.8,1.5,media
34.4,36.6,32.1,5.7,10.0,1.0,baja
17.0,20.7,13.1,6.3,7.9,4.7,media
17.4,20.9,13.7,6.0,7.6,4.4,media
18.6,22.3,14.6,7.8,9.5,6.1,media
18.8,22.1,15.0,6.7,7.7,5.7,media
19.4,23.1,14.9,5.5,7.4,3.5,baja
14.2,15.2,13.2,3.2,4.7,1.7,baja
14.4,15.4,13.3,3.2,4.8,1.7,baja
15.4,16.4,14.4,3.3,4.9,1.8,baja
17.6,18.9,16.2,3.8,5.3,2.2,baja
21.1,23.1,19.1,4.1,5.6,2.5,baja
16.5,17.2,16.0,4.7,7.0,2.5,baja
16.9,17.6,16.3,5.0,7.5,2.6,baja
18.1,18.6,17.8,5.7,8.7,2.8,baja
21.3,21.5,21.2,7.2,11.0,3.7,media
24.0,24.2,23.8,7.9,11.9,4.0,media
22.6,25.2,20.0,0.5,0.0,0.9,baja
22.6,25.5,19.7,0.8,0.0,1.5,baja
21.6,24.2,19.3,0.3,0.5,0.0,baja
21.6,21.8,21.3,1.2,2.4,0.0,baja
23.4,26.8,20.8,2.0,4.2,0.1,baja
15.8,19.7,12.2,9.2,15.1,3.5,media
16.1,20.2,12.4,8.8,14.5,3.4,media
17.8,22.8,13.2,8.7,14.3,3.3,media
18.9,24.6,13.6,9.0,14.4,3.9,media
20.6,26.9,14.7,9.5,15.6,3.7,media
22.3,30.9,15.0,6.6,10.8,2.8,media
23.0,31.6,15.7,7.0,11.5,3.0,media
25.9,35.1,17.9,6.0,10.1,2.4,media
26.5,34.9,19.2,4.4,7.4,1.7,baja
27.8,35.4,21.0,3.3,5.5,1.3,baja
9.1,11.0,7.2,13.2,19.5,7.0,alta
9.3,11.3,7.3,13.8,20.4,7.2,alta
10.0,12.1,7.8,12.5,18.6,6.3,alta
11.4,13.9,8.8,12.3,18.6,6.0,alta
13.1,16.1,10.0,13.2,20.4,6.1,alta
11.4,14.4,8.5,15.6,23.9,7.7,alta
11.5,14.6,8.5,16.0,24.9,7.5,alta
12.2,15.8,8.7,16.0,25.0,7.5,alta
12.7,16.5,9.1,17.3,26.6,8.6,alta
15.3,20.0,10.7,20.0,30.0,10.5,alta
